"navn","komnr","år","gjerningssted","g_komnr","alt","eiendomstyveri","vold_mishandling","rusmidler","orden_integritet","trafikk","annet"
"Nome",4018,"2023-2024","4018 Nome",4018,291,53,44,27,31,67,71
"Midt-Telemark",4020,"2023-2024","4020 Midt-Telemark",4020,460,103,79,41,45,86,108
"Seljord",4022,"2023-2024","4022 Seljord",4022,141,34,25,10,20,23,31
"Hjartdal",4024,"2023-2024","4024 Hjartdal",4024,71,10,7,NA,NA,37,13
"Tinn",4026,"2023-2024","4026 Tinn",4026,173,45,24,20,13,20,51
"Kviteseid",4028,"2023-2024","4028 Kviteseid",4028,113,28,10,12,10,32,23
"Nissedal",4030,"2023-2024","4030 Nissedal",4030,64,24,NA,NA,6,9,19
"Fyresdal",4032,"2023-2024","4032 Fyresdal",4032,44,15,7,NA,NA,7,10
"Tokke",4034,"2023-2024","4034 Tokke",4034,73,14,9,7,NA,18,25
"Vinje",4036,"2023-2024","4036 Vinje",4036,189,39,36,14,23,32,47
"Risør",4201,"2023-2024","4201 Risør",4201,282,69,40,32,25,46,71
"Grimstad",4202,"2023-2024","4202 Grimstad",4202,1162,439,150,104,117,130,223
"Arendal",4203,"2023-2024","4203 Arendal",4203,2936,950,424,385,343,307,528
"Kristiansand",4204,"2023-2024","4204 Kristiansand",4204,9527,3965,1212,988,1114,743,1505
"Lindesnes",4205,"2023-2024","4205 Lindesnes",4205,1335,409,182,144,119,143,339
"Farsund",4206,"2023-2024","4206 Farsund",4206,469,106,73,40,73,48,130
"Flekkefjord",4207,"2023-2024","4207 Flekkefjord",4207,318,71,55,26,43,45,80
"Gjerstad",4211,"2023-2024","4211 Gjerstad",4211,92,21,9,9,7,28,20
"Vegårshei",4212,"2023-2024","4212 Vegårshei",4212,73,20,NA,17,NA,14,14
"Tvedestrand",4213,"2023-2024","4213 Tvedestrand",4213,342,89,53,45,33,40,83
"Froland",4214,"2023-2024","4214 Froland",4214,275,36,75,36,27,28,75
"Lillesand",4215,"2023-2024","4215 Lillesand",4215,552,206,52,46,47,84,119
"Birkenes",4216,"2023-2024","4216 Birkenes",4216,171,53,35,14,15,15,41
"Åmli",4217,"2023-2024","4217 Åmli",4217,73,16,13,NA,14,13,13
"Iveland",4218,"2023-2024","4218 Iveland",4218,42,7,13,NA,NA,NA,13
"Evje og Hornnes",4219,"2023-2024","4219 Evje og Hornnes",4219,193,52,25,23,32,28,34
"Bygland",4220,"2023-2024","4220 Bygland",4220,56,16,7,NA,NA,13,16
"Valle",4221,"2023-2024","4221 Valle",4221,61,10,NA,6,7,13,21
"Bykle",4222,"2023-2024","4222 Bykle",4222,81,46,6,NA,9,NA,14
"Vennesla",4223,"2023-2024","4223 Vennesla",4223,816,250,144,84,83,85,172
"Åseral",4224,"2023-2024","4224 Åseral",4224,27,6,6,NA,NA,NA,7
"Lyngdal",4225,"2023-2024","4225 Lyngdal",4225,533,165,70,40,51,92,117
"Hægebostad",4226,"2023-2024","4226 Hægebostad",4226,50,11,9,7,7,6,12
"Kvinesdal",4227,"2023-2024","4227 Kvinesdal",4227,233,40,49,23,33,31,58
"Sirdal",4228,"2023-2024","4228 Sirdal",4228,101,36,9,9,8,16,25
"Eigersund",1101,"2023-2024","1101 Eigersund",1101,719,133,110,62,60,199,156
"Stavanger",1103,"2023-2024","1103 Stavanger",1103,10098,4408,1319,957,846,765,1805
"Haugesund",1106,"2023-2024","1106 Haugesund",1106,2885,947,475,353,416,199,496
"Sandnes",1108,"2023-2024","1108 Sandnes",1108,4432,1960,568,371,341,432,761
"Sokndal",1111,"2023-2024","1111 Sokndal",1111,125,25,28,12,11,10,40
"Lund",1112,"2023-2024","1112 Lund",1112,78,19,12,12,NA,11,21
"Bjerkreim",1114,"2023-2024","1114 Bjerkreim",1114,83,16,12,NA,6,16,31
"Hå",1119,"2023-2024","1119 Hå",1119,679,192,125,57,64,98,145
"Klepp",1120,"2023-2024","1120 Klepp",1120,984,315,123,102,66,149,230
"Time",1121,"2023-2024","1121 Time",1121,990,384,131,67,88,119,203
"Gjesdal",1122,"2023-2024","1122 Gjesdal",1122,478,190,59,45,36,69,80
"Sola",1124,"2023-2024","1124 Sola",1124,1398,447,157,239,121,121,315
"Randaberg",1127,"2023-2024","1127 Randaberg",1127,390,93,53,44,27,67,107
"Strand",1130,"2023-2024","1130 Strand",1130,451,105,76,33,31,95,112
"Hjelmeland",1133,"2023-2024","1133 Hjelmeland",1133,73,10,10,7,6,18,24
"Suldal",1134,"2023-2024","1134 Suldal",1134,93,17,12,7,6,19,34
"Sauda",1135,"2023-2024","1135 Sauda",1135,141,25,28,15,19,20,35
"Kvitsøy",1144,"2023-2024","1144 Kvitsøy",1144,6,NA,NA,NA,NA,NA,NA
"Bokn",1145,"2023-2024","1145 Bokn",1145,36,6,NA,NA,NA,16,6
"Tysvær",1146,"2023-2024","1146 Tysvær",1146,453,96,56,27,39,111,126
"Karmøy",1149,"2023-2024","1149 Karmøy",1149,1923,429,294,178,267,307,449
"Vindafjord",1160,"2023-2024","1160 Vindafjord",1160,425,39,40,63,111,106,68
"Bergen",4601,"2023-2024","4601 Bergen",4601,18572,7567,2359,1704,1585,2175,3184
"Kinn",4602,"2023-2024","4602 Kinn",4602,611,100,107,68,73,91,172
"Etne",4611,"2023-2024","4611 Etne",4611,141,20,12,8,11,64,28
"Sveio",4612,"2023-2024","4612 Sveio",4612,187,24,29,11,13,65,46
"Bømlo",4613,"2023-2024","4613 Bømlo",4613,306,63,41,25,29,41,108
"Stord",4614,"2023-2024","4614 Stord",4614,831,170,120,116,98,150,178
"Fitjar",4615,"2023-2024","4615 Fitjar",4615,91,14,11,11,5,29,22
"Tysnes",4616,"2023-2024","4616 Tysnes",4616,99,20,9,16,6,14,35
"Kvinnherad",4617,"2023-2024","4617 Kvinnherad",4617,354,72,36,50,26,58,114
"Ullensvang",4618,"2023-2024","4618 Ullensvang",4618,504,82,59,66,45,129,124
"Eidfjord",4619,"2023-2024","4619 Eidfjord",4619,54,NA,NA,NA,NA,29,17
"Ulvik",4620,"2023-2024","4620 Ulvik",4620,40,11,8,NA,NA,NA,12
"Voss",4621,"2023-2024","4621 Voss",4621,646,177,86,46,44,134,160
"Kvam",4622,"2023-2024","4622 Kvam",4622,205,35,36,15,18,41,61
"Samnanger",4623,"2023-2024","4623 Samnanger",4623,71,9,9,6,NA,27,18
"Bjørnafjorden",4624,"2023-2024","4624 Bjørnafjorden",4624,843,191,121,78,65,155,234
"Austevoll",4625,"2023-2024","4625 Austevoll",4625,180,33,24,17,17,35,56
"Øygarden",4626,"2023-2024","4626 Øygarden",4626,1573,525,228,129,108,148,436
"Askøy",4627,"2023-2024","4627 Askøy",4627,970,262,158,75,82,113,281
"Vaksdal",4628,"2023-2024","4628 Vaksdal",4628,134,18,16,9,10,54,29
"Osterøy",4630,"2023-2024","4630 Osterøy",4630,174,27,42,9,12,26,58
"Alver",4631,"2023-2024","4631 Alver",4631,996,192,165,77,82,189,292
"Austrheim",4632,"2023-2024","4632 Austrheim",4632,107,12,16,7,10,18,44
"Fedje",4633,"2023-2024","4633 Fedje",4633,16,NA,NA,NA,NA,NA,7
"Masfjorden",4634,"2023-2024","4634 Masfjorden",4634,43,7,NA,NA,NA,13,16
"Gulen",4635,"2023-2024","4635 Gulen",4635,38,6,5,6,NA,11,9
"Solund",4636,"2023-2024","4636 Solund",4636,12,NA,NA,NA,NA,NA,7
"Hyllestad",4637,"2023-2024","4637 Hyllestad",4637,33,NA,5,5,NA,5,12
"Høyanger",4638,"2023-2024","4638 Høyanger",4638,123,18,16,22,13,30,26
"Vik",4639,"2023-2024","4639 Vik",4639,67,8,12,6,8,12,22
"Sogndal",4640,"2023-2024","4640 Sogndal",4640,501,181,53,42,54,60,111
"Aurland",4641,"2023-2024","4641 Aurland",4641,61,10,NA,6,NA,25,13
"Lærdal",4642,"2023-2024","4642 Lærdal",4642,149,7,7,6,NA,109,18
"Årdal",4643,"2023-2024","4643 Årdal",4643,92,14,16,6,17,10,31
"Luster",4644,"2023-2024","4644 Luster",4644,119,19,21,10,10,22,38
"Askvoll",4645,"2023-2024","4645 Askvoll",4645,67,9,12,8,NA,7,28
"Fjaler",4646,"2023-2024","4646 Fjaler",4646,53,8,9,NA,NA,10,19
"Sunnfjord",4647,"2023-2024","4647 Sunnfjord",4647,865,213,99,100,77,170,208
"Bremanger",4648,"2023-2024","4648 Bremanger",4648,101,11,18,5,9,15,43
"Stad",4649,"2023-2024","4649 Stad",4649,257,57,40,23,23,41,74
"Gloppen",4650,"2023-2024","4650 Gloppen",4650,139,24,20,10,12,37,37
"Stryn",4651,"2023-2024","4651 Stryn",4651,216,43,29,35,16,51,43
"Kristiansund",1505,"2023-2024","1505 Kristiansund",1505,1490,347,210,230,205,169,330
"Molde",1506,"2023-2024","1506 Molde",1506,1367,349,216,168,161,201,274
"Ålesund",1508,"2023-2024","1508 Ålesund",1508,3406,860,551,397,434,512,653
"Vanylven",1511,"2023-2024","1511 Vanylven",1511,86,8,17,5,12,17,28
"Sande",1514,"2023-2024","1514 Sande",1514,64,8,13,5,7,12,19
"Herøy (Møre og Romsdal)",1515,"2023-2024","1515 Herøy (Møre og Romsdal)",1515,301,38,60,30,30,72,73
"Ulstein",1516,"2023-2024","1516 Ulstein",1516,316,64,45,33,39,62,74
"Hareid",1517,"2023-2024","1517 Hareid",1517,147,11,31,26,8,35,37
"Ørsta",1520,"2023-2024","1520 Ørsta",1520,340,35,48,27,38,105,88
"Stranda",1525,"2023-2024","1525 Stranda",1525,144,26,13,21,9,36,41
"Sykkylven",1528,"2023-2024","1528 Sykkylven",1528,180,20,24,18,20,38,60
"Sula",1531,"2023-2024","1531 Sula",1531,268,45,37,38,24,48,78
"Giske",1532,"2023-2024","1532 Giske",1532,277,42,31,61,23,37,84
"Vestnes",1535,"2023-2024","1535 Vestnes",1535,250,29,31,24,22,77,69
"Rauma",1539,"2023-2024","1539 Rauma",1539,307,44,31,26,22,136,50
"Aukra",1547,"2023-2024","1547 Aukra",1547,95,15,20,19,8,10,24
"Averøy",1554,"2023-2024","1554 Averøy",1554,195,30,29,21,11,35,69
"Gjemnes",1557,"2023-2024","1557 Gjemnes",1557,125,12,10,15,NA,55,31
"Tingvoll",1560,"2023-2024","1560 Tingvoll",1560,96,15,20,13,7,18,23
"Sunndal",1563,"2023-2024","1563 Sunndal",1563,301,47,56,42,26,48,83
"Surnadal",1566,"2023-2024","1566 Surnadal",1566,150,22,25,20,15,22,47
"Smøla",1573,"2023-2024","1573 Smøla",1573,43,NA,7,NA,NA,NA,21
"Aure",1576,"2023-2024","1576 Aure",1576,82,10,15,8,11,11,28
"Volda",1577,"2023-2024","1577 Volda",1577,379,67,49,38,40,115,71
"Fjord",1578,"2023-2024","1578 Fjord",1578,66,12,6,NA,5,14,26
"Hustadvika",1579,"2023-2024","1579 Hustadvika",1579,432,60,74,54,29,104,113
"Haram",1580,"2023-2024","1580 Haram",1580,210,38,33,21,19,38,61
"Trondheim - Tråante",5001,"2023-2024","5001 Trondheim - Tråante",5001,14310,6078,1672,1091,1365,1085,3021
"Steinkjer",5006,"2023-2024","5006 Steinkjer",5006,1314,367,170,150,119,206,303
"Namsos - Nåavmesjenjaelmie",5007,"2023-2024","5007 Namsos - Nåavmesjenjaelmie",5007,666,106,110,71,86,108,186
"Frøya",5014,"2023-2024","5014 Frøya",5014,239,26,27,33,37,60,58
"Osen",5020,"2023-2024","5020 Osen",5020,14,NA,NA,NA,NA,NA,7
"Oppdal",5021,"2023-2024","5021 Oppdal",5021,304,86,40,30,18,73,58
"Rennebu",5022,"2023-2024","5022 Rennebu",5022,142,14,10,9,7,85,17
"Røros - Rosse",5025,"2023-2024","5025 Røros - Rosse",5025,183,43,30,10,20,20,61
"Holtålen",5026,"2023-2024","5026 Holtålen",5026,40,NA,NA,7,NA,10,15
"Midtre Gauldal",5027,"2023-2024","5027 Midtre Gauldal",5027,270,27,33,15,15,123,58
"Melhus",5028,"2023-2024","5028 Melhus",5028,546,101,73,41,54,126,151
"Skaun",5029,"2023-2024","5029 Skaun",5029,311,50,49,21,27,86,80
"Malvik",5031,"2023-2024","5031 Malvik",5031,441,89,53,45,32,102,121
"Selbu",5032,"2023-2024","5032 Selbu",5032,120,15,16,13,10,23,44
"Tydal",5033,"2023-2024","5033 Tydal",5033,26,6,NA,NA,NA,5,6
"Meråker",5034,"2023-2024","5034 Meråker",5034,101,12,14,19,9,11,38
"Stjørdal",5035,"2023-2024","5035 Stjørdal",5035,1666,447,195,235,175,261,354
"Frosta",5036,"2023-2024","5036 Frosta",5036,209,9,24,16,NA,15,143
"Levanger - Levangke",5037,"2023-2024","5037 Levanger - Levangke",5037,830,198,138,83,65,131,216
"Verdal",5038,"2023-2024","5038 Verdal",5038,720,177,86,81,65,134,178
"Snåase - Snåsa",5041,"2023-2024","5041 Snåase - Snåsa",5041,56,9,8,NA,NA,17,20
"Lierne",5042,"2023-2024","5042 Lierne",5042,37,NA,NA,6,NA,8,18
"Raarvihke - Røyrvik",5043,"2023-2024","5043 Raarvihke - Røyrvik",5043,18,6,NA,NA,NA,NA,8
"Namsskogan",5044,"2023-2024","5044 Namsskogan",5044,35,9,6,NA,NA,12,6
"Grong",5045,"2023-2024","5045 Grong",5045,135,15,11,16,7,53,34
"Høylandet",5046,"2023-2024","5046 Høylandet",5046,37,NA,8,NA,NA,14,9
"Overhalla",5047,"2023-2024","5047 Overhalla",5047,108,16,11,15,8,26,34
"Flatanger",5049,"2023-2024","5049 Flatanger",5049,29,NA,6,NA,NA,NA,12
"Leka",5052,"2023-2024","5052 Leka",5052,15,NA,NA,NA,NA,NA,5
"Inderøy",5053,"2023-2024","5053 Inderøy",5053,183,26,21,17,13,39,68
"Indre Fosen",5054,"2023-2024","5054 Indre Fosen",5054,374,44,38,37,33,116,107
"Heim",5055,"2023-2024","5055 Heim",5055,192,32,29,11,11,56,54
"Hitra",5056,"2023-2024","5056 Hitra",5056,298,26,23,23,28,128,72
"Ørland",5057,"2023-2024","5057 Ørland",5057,412,50,55,52,38,90,127
"Åfjord",5058,"2023-2024","5058 Åfjord",5058,132,12,27,9,9,27,48
"Orkland",5059,"2023-2024","5059 Orkland",5059,1017,230,132,96,98,228,235
"Nærøysund",5060,"2023-2024","5060 Nærøysund",5060,404,47,65,47,67,71,109
"Rindal",5061,"2023-2024","5061 Rindal",5061,29,NA,NA,NA,NA,NA,14
"Bodø",1804,"2023-2024","1804 Bodø",1804,2563,677,480,347,297,284,479
"Narvik",1806,"2023-2024","1806 Narvik",1806,1059,193,169,109,132,176,281
"Bindal",1811,"2023-2024","1811 Bindal",1811,24,NA,NA,NA,NA,5,9
"Sømna",1812,"2023-2024","1812 Sømna",1812,38,6,NA,NA,NA,10,15
"Brønnøy",1813,"2023-2024","1813 Brønnøy",1813,288,39,46,35,35,41,93
"Vega",1815,"2023-2024","1815 Vega",1815,27,NA,NA,NA,NA,NA,15
"Vevelstad",1816,"2023-2024","1816 Vevelstad",1816,12,NA,NA,NA,NA,NA,5
"Herøy (Nordland)",1818,"2023-2024","1818 Herøy (Nordland)",1818,47,6,11,NA,NA,9,14
"Alstahaug",1820,"2023-2024","1820 Alstahaug",1820,359,63,57,47,40,70,83
"Leirfjord",1822,"2023-2024","1822 Leirfjord",1822,87,6,16,6,9,32,19
"Vefsn",1824,"2023-2024","1824 Vefsn",1824,622,78,117,92,57,142,136
"Grane",1825,"2023-2024","1825 Grane",1825,80,7,9,7,NA,42,14
"Aarborte - Hattfjelldal",1826,"2023-2024","1826 Aarborte - Hattfjelldal",1826,27,NA,NA,NA,NA,NA,14
"Dønna",1827,"2023-2024","1827 Dønna",1827,48,NA,7,NA,NA,10,22
"Nesna",1828,"2023-2024","1828 Nesna",1828,38,6,11,NA,NA,NA,12
"Hemnes",1832,"2023-2024","1832 Hemnes",1832,143,18,23,18,12,34,39
"Rana - Raane",1833,"2023-2024","1833 Rana - Raane",1833,1266,303,214,125,157,224,245
"Lurøy",1834,"2023-2024","1834 Lurøy",1834,50,NA,9,NA,5,NA,27
"Træna",1835,"2023-2024","1835 Træna",1835,10,NA,NA,NA,NA,NA,NA
"Rødøy",1836,"2023-2024","1836 Rødøy",1836,19,NA,NA,NA,NA,NA,7
"Meløy",1837,"2023-2024","1837 Meløy",1837,325,21,41,25,26,24,189
"Gildeskål",1838,"2023-2024","1838 Gildeskål",1838,65,9,12,6,NA,17,20
"Beiarn",1839,"2023-2024","1839 Beiarn",1839,25,NA,6,NA,NA,7,8
"Saltdal",1840,"2023-2024","1840 Saltdal",1840,233,32,34,23,15,69,61
"Fauske - Fuossko",1841,"2023-2024","1841 Fauske - Fuossko",1841,518,87,90,57,49,127,110
"Sørfold - Fuolldá",1845,"2023-2024","1845 Sørfold - Fuolldá",1845,67,NA,8,6,7,28,15
"Steigen",1848,"2023-2024","1848 Steigen",1848,76,6,16,NA,7,12,32
"Lødingen",1851,"2023-2024","1851 Lødingen",1851,66,7,16,6,8,13,18
"Evenes - Evenássi",1853,"2023-2024","1853 Evenes - Evenássi",1853,142,17,15,9,5,72,25
"Røst",1856,"2023-2024","1856 Røst",1856,13,NA,NA,NA,NA,NA,NA
"Værøy",1857,"2023-2024","1857 Værøy",1857,28,5,NA,6,NA,NA,10
"Flakstad",1859,"2023-2024","1859 Flakstad",1859,48,8,5,6,NA,14,13
"Vestvågøy",1860,"2023-2024","1860 Vestvågøy",1860,487,78,88,68,49,86,119
"Vågan",1865,"2023-2024","1865 Vågan",1865,383,82,65,46,27,65,99
"Hadsel",1866,"2023-2024","1866 Hadsel",1866,276,38,53,36,24,60,66
"Bø (Nordland)",1867,"2023-2024","1867 Bø (Nordland)",1867,96,12,23,7,7,15,33
"Øksnes",1868,"2023-2024","1868 Øksnes",1868,131,15,21,18,16,14,49
"Sortland - Suortá",1870,"2023-2024","1870 Sortland - Suortá",1870,531,100,73,84,49,96,130
"Andøy",1871,"2023-2024","1871 Andøy",1871,154,35,21,12,9,18,60
"Moskenes",1874,"2023-2024","1874 Moskenes",1874,35,10,NA,NA,NA,NA,14
"Hábmer - Hamarøy",1875,"2023-2024","1875 Hábmer - Hamarøy",1875,83,13,11,8,9,21,23
"Tromsø",5501,"2023-2024","5501 Tromsø",5501,4511,1308,716,482,543,554,910
"Harstad - Hárstták",5503,"2023-2024","5503 Harstad - Hárstták",5503,1288,274,259,158,203,130,265
"Kvæfjord",5510,"2023-2024","5510 Kvæfjord",5510,116,17,20,16,8,20,35
"Dielddanuorri - Tjeldsund",5512,"2023-2024","5512 Dielddanuorri - Tjeldsund",5512,161,16,27,14,20,52,34
"Ibestad",5514,"2023-2024","5514 Ibestad",5514,42,NA,9,NA,NA,NA,18
"Gratangen - Rivtták",5516,"2023-2024","5516 Gratangen - Rivtták",5516,51,6,13,NA,6,7,19
"Loabák - Lavangen",5518,"2023-2024","5518 Loabák - Lavangen",5518,39,NA,8,NA,NA,7,12
"Bardu",5520,"2023-2024","5520 Bardu",5520,198,44,27,19,10,72,28
"Salangen",5522,"2023-2024","5522 Salangen",5522,73,10,16,NA,5,8,31
"Målselv",5524,"2023-2024","5524 Målselv",5524,397,75,47,30,29,149,67
"Sørreisa",5526,"2023-2024","5526 Sørreisa",5526,82,7,10,9,9,20,27
"Dyrøy",5528,"2023-2024","5528 Dyrøy",5528,35,NA,11,NA,NA,NA,13
"Senja",5530,"2023-2024","5530 Senja",5530,703,86,138,71,102,138,169
"Balsfjord",5532,"2023-2024","5532 Balsfjord",5532,368,31,38,31,34,160,76
"Karlsøy",5534,"2023-2024","5534 Karlsøy",5534,87,9,16,6,10,9,38
"Lyngen",5536,"2023-2024","5536 Lyngen",5536,99,6,22,8,9,24,32
"Storfjord - Omasvuotna - Omasvuono",5538,"2023-2024","5538 Storfjord - Omasvuotna - Omasvuono",5538,193,10,19,25,17,64,59
"Gáivuotna - Kåfjord - Kaivuono",5540,"2023-2024","5540 Gáivuotna - Kåfjord - Kaivuono",5540,95,8,11,11,6,44,16
"Skjervøy",5542,"2023-2024","5542 Skjervøy",5542,80,10,14,5,9,18,25
"Nordreisa - Ráisa - Raisi",5544,"2023-2024","5544 Nordreisa - Ráisa - Raisi",5544,235,25,42,36,25,57,51
"Kvænangen",5546,"2023-2024","5546 Kvænangen",5546,55,8,NA,NA,8,18,15
"Alta",5601,"2023-2024","5601 Alta",5601,1593,323,286,160,206,294,324
"Hammerfest - Hámmerfeasta",5603,"2023-2024","5603 Hammerfest - Hámmerfeasta",5603,767,109,120,102,99,164,174
"Sør-Varanger",5605,"2023-2024","5605 Sør-Varanger",5605,597,57,104,55,139,83,161
"Vadsø",5607,"2023-2024","5607 Vadsø",5607,286,24,82,39,41,42,59
"Kárásjohka - Karasjok",5610,"2023-2024","5610 Kárásjohka - Karasjok",5610,116,18,25,11,15,17,30
"Guovdageaidnu - Kautokeino",5612,"2023-2024","5612 Guovdageaidnu - Kautokeino",5612,211,22,31,13,17,64,64
"Loppa",5614,"2023-2024","5614 Loppa",5614,23,5,NA,NA,NA,NA,11
"Hasvik",5616,"2023-2024","5616 Hasvik",5616,39,NA,6,NA,NA,NA,21
"Måsøy",5618,"2023-2024","5618 Måsøy",5618,49,6,9,NA,8,8,16
"Nordkapp",5620,"2023-2024","5620 Nordkapp",5620,140,25,18,12,16,23,47
"Porsanger - Porsángu - Porsanki",5622,"2023-2024","5622 Porsanger - Porsángu - Porsanki",5622,269,38,52,32,25,54,70
"Lebesby",5624,"2023-2024","5624 Lebesby",5624,79,NA,21,8,9,9,28
"Gamvik",5626,"2023-2024","5626 Gamvik",5626,53,NA,12,10,NA,7,17
"Deatnu - Tana",5628,"2023-2024","5628 Deatnu - Tana",5628,164,12,24,17,16,50,45
"Berlevåg",5630,"2023-2024","5630 Berlevåg",5630,51,NA,12,NA,NA,5,21
"Båtsfjord",5632,"2023-2024","5632 Båtsfjord",5632,92,11,17,17,9,14,26
"Vardø",5634,"2023-2024","5634 Vardø",5634,96,7,20,12,14,12,32
"Unjárga - Nesseby",5636,"2023-2024","5636 Unjárga - Nesseby",5636,62,NA,9,10,7,21,14
"Norge",0,"2020-2021","Norge",NA,286766,81627,36276,34794,29991,44292,59786
"Norge",0,"2021-2022","Norge",NA,286516,86274,37396,29617,29676,43408,60146
"Norge",0,"2022-2023","Norge",NA,308027,100026,40735,29336,30977,43875,63080
"Norge",0,"2023-2024","Norge",NA,325088,107360,43654,30027,32358,43931,67759
